cr_year,esac_publisher,cat,perc_cr,perc_upw,perc_diff
2020,Royal Society of Chemistry,Germany,0.348,0.347,0.002
2020,Royal Society of Chemistry,Global,0.093,0.093,0
2020,Cambridge University Press,Germany,0.399,0.39,0.009
2020,Cambridge University Press,Global,0.12,0.117,0.003
2020,IOP Publishing,Germany,0.432,0.425,0.007
2020,IOP Publishing,Global,0.097,0.096,0.001
2020,American Physical Society,Germany,0.282,0.3,-0.018
2020,American Physical Society,Global,0.175,0.221,-0.046
2020,Walter de Gruyter,Germany,0.077,0.057,0.02
2020,Walter de Gruyter,Global,0.065,0.059,0.005
2020,Emerald,Germany,0,0.042,-0.042
2020,Emerald,Global,0,0.031,-0.031
2020,AIP Publishing,Germany,0,0.179,-0.179
2020,AIP Publishing,Global,0,0.177,-0.177
2020,Thieme,Germany,0.051,0.05,0.001
2020,Thieme,Global,0.019,0.018,0
2020,BMJ Publishing,Germany,0.201,0.201,0
2020,BMJ Publishing,Global,0.145,0.146,-0
2020,Bentham Science Publishers,Germany,0.341,0.068,0.273
2020,Bentham Science Publishers,Global,0.173,0.009,0.164
2020,The Electrochemical Society,Germany,0.262,0.259,0.003
2020,The Electrochemical Society,Global,0.1,0.099,0.001
2020,Brill,Germany,0.066,0.059,0.007
2020,Brill,Global,0.089,0.08,0.009
2020,American Psychological Association,Germany,0,0,0
2020,American Psychological Association,Global,0.006,0.006,0
2020,"Mary Ann Liebert, Inc.",Germany,0,0.125,-0.125
2020,"Mary Ann Liebert, Inc.",Global,0,0.063,-0.063
2020,IOS Press,Germany,0.197,0.116,0.081
2020,IOS Press,Global,0.099,0.053,0.046
2020,Association for Computing Machinery,Germany,0.06,0.064,-0.004
2020,Association for Computing Machinery,Global,0.018,0.036,-0.018
2020,Karger,Germany,0.186,0.186,0
2020,Karger,Global,0.099,0.103,-0.004
2020,Trans Tech Publications,Germany,0.024,0.024,0
2020,Trans Tech Publications,Global,0.003,0.003,0
2020,National Academy of Sciences,Germany,0.51,0.51,0
2020,National Academy of Sciences,Global,0.36,0.37,-0.01
2020,Optica,Germany,0,0.053,-0.053
2020,Optica,Global,0.002,0.104,-0.103
2020,EDP Sciences,Germany,0.391,0.396,-0.005
2020,EDP Sciences,Global,0.27,0.274,-0.003
2020,American Physiological Society,Germany,0,0.065,-0.065
2020,American Physiological Society,Global,0,0.04,-0.04
2020,The Royal Society,Germany,0.286,0.4,-0.114
2020,The Royal Society,Global,0.188,0.253,-0.065
2020,Canadian Science Publishing,Germany,0,0,0
2020,Canadian Science Publishing,Global,0,0.049,-0.049
2020,Future Science Group,Germany,0,0.271,-0.271
2020,Future Science Group,Global,0,0.117,-0.117
2020,American Meteorological Society,Germany,0,0.085,-0.085
2020,American Meteorological Society,Global,0.005,0.037,-0.031
2020,CSIRO,Germany,0,0.154,-0.154
2020,CSIRO,Global,0,0.078,-0.078
2020,John Benjamins Publishing,Germany,0.062,0.053,0.009
2020,John Benjamins Publishing,Global,0.046,0.026,0.02
2020,Company of Biologists,Germany,0.033,0.736,-0.703
2020,Company of Biologists,Global,0.038,0.614,-0.576
2020,SPIE,Germany,0,0.516,-0.516
2020,SPIE,Global,0.007,0.127,-0.12
2020,Microbiology Society,Germany,0,0.104,-0.104
2020,Microbiology Society,Global,0.004,0.051,-0.047
2020,Hogrefe,Germany,0.096,0.09,0.006
2020,Hogrefe,Global,0.057,0.053,0.004
2020,Akadémiai Kiadó,Germany,0.167,0.167,0
2020,Akadémiai Kiadó,Global,0.511,0.468,0.043
2020,Society for Neuroscience,Germany,0,0.562,-0.562
2020,Society for Neuroscience,Global,0,0.472,-0.472
2020,Portland Press,Germany,0.529,0.529,0
2020,Portland Press,Global,0.599,0.597,0.001
2020,Radiological Society of North America,Germany,0,0.053,-0.053
2020,Radiological Society of North America,Global,0,0.019,-0.019
2020,Rockefeller University Press,Germany,0.175,1,-0.825
2020,Rockefeller University Press,Global,0.138,0.986,-0.848
2020,Bioscientifica,Germany,0.062,0.062,0
2020,Bioscientifica,Global,0.027,0.109,-0.081
2020,The Geological Society of London,Germany,0.167,0.167,0
2020,The Geological Society of London,Global,0.107,0.107,0
2020,European Respiratory Society,Germany,0.341,0.366,-0.024
2020,European Respiratory Society,Global,0.338,0.348,-0.01
2020,Inter-Research Science Publisher,Germany,0,0,0
2020,Inter-Research Science Publisher,Global,0.087,0.048,0.039
2020,Bristol University Press,Germany,0.071,0,0.071
2020,Bristol University Press,Global,0.079,0.059,0.02
2020,Royal College of General Practitioners,Germany,1,1,0
2020,Royal College of General Practitioners,Global,0.167,0.192,-0.025
2020,Cold Spring Harbor Laboratory Press,Germany,0,0.375,-0.375
2020,Cold Spring Harbor Laboratory Press,Global,0,0.497,-0.497
2020,Edward Elgar Publishing,Germany,0.4,0.4,0
2020,Edward Elgar Publishing,Global,0.113,0.118,-0.005
2020,Royal Irish Academy,Global,0,0,0
2020,White Horse Press,Global,0,0.008,-0.008
2021,Elsevier,Germany,0.16,0.171,-0.011
2021,Elsevier,Global,0.078,0.104,-0.026
2021,Springer Nature,Germany,0.606,0.611,-0.005
2021,Springer Nature,Global,0.137,0.141,-0.004
2021,Wiley,Germany,0.84,0.58,0.26
2021,Wiley,Global,0.179,0.119,0.06
2021,Taylor and Francis,Germany,0.224,0.215,0.01
2021,Taylor and Francis,Global,0.115,0.112,0.002
2021,Sage,Germany,0.484,0.392,0.092
2021,Sage,Global,0.149,0.124,0.026
2021,American Chemical Society,Germany,0.221,0.1,0.12
2021,American Chemical Society,Global,0.099,0.048,0.051
2021,Oxford University Press,Germany,0.279,0.271,0.008
2021,Oxford University Press,Global,0.16,0.182,-0.022
2021,IEEE,Germany,0.153,0.15,0.003
2021,IEEE,Global,0.041,0.074,-0.033
2021,Wolters Kluwer Health,Germany,0.1,0.116,-0.016
2021,Wolters Kluwer Health,Global,0.046,0.058,-0.012
2021,Royal Society of Chemistry,Germany,0.397,0.394,0.003
2021,Royal Society of Chemistry,Global,0.107,0.106,0.001
2021,Cambridge University Press,Germany,0.547,0.541,0.006
2021,Cambridge University Press,Global,0.19,0.182,0.008
2021,IOP Publishing,Germany,0.617,0.563,0.054
2021,IOP Publishing,Global,0.114,0.108,0.006
2021,American Physical Society,Germany,0.279,0.281,-0.002
2021,American Physical Society,Global,0.183,0.192,-0.009
2021,Walter de Gruyter,Germany,0.084,0.08,0.004
2021,Walter de Gruyter,Global,0.065,0.07,-0.005
2021,Emerald,Germany,0,0.058,-0.058
2021,Emerald,Global,0,0.058,-0.058
2021,AIP Publishing,Germany,0,0.303,-0.303
2021,AIP Publishing,Global,0,0.16,-0.16
2021,Thieme,Germany,0.06,0.06,-0.001
2021,Thieme,Global,0.026,0.026,-0
2021,BMJ Publishing,Germany,0.417,0.413,0.005
2021,BMJ Publishing,Global,0.162,0.162,0
2021,Bentham Science Publishers,Germany,0.277,0.021,0.255
2021,Bentham Science Publishers,Global,0.11,0.012,0.098
2021,The Electrochemical Society,Germany,0.379,0.359,0.02
2021,The Electrochemical Society,Global,0.095,0.106,-0.011
2021,Brill,Germany,0.102,0.077,0.025
2021,Brill,Global,0.102,0.083,0.019
2021,American Psychological Association,Germany,0,0,0
2021,American Psychological Association,Global,0.004,0.004,0
2021,"Mary Ann Liebert, Inc.",Germany,0,0.121,-0.121
2021,"Mary Ann Liebert, Inc.",Global,0,0.077,-0.077
2021,IOS Press,Germany,0.187,0.171,0.016
2021,IOS Press,Global,0.094,0.075,0.018
2021,Association for Computing Machinery,Germany,0.068,0.064,0.004
2021,Association for Computing Machinery,Global,0.022,0.037,-0.015
2021,Karger,Germany,0.326,0.337,-0.012
2021,Karger,Global,0.178,0.182,-0.004
2021,Trans Tech Publications,Germany,0.031,0.031,0
2021,Trans Tech Publications,Global,0.002,0.003,-0.001
2021,National Academy of Sciences,Germany,0.579,0.566,0.012
2021,National Academy of Sciences,Global,0.386,0.376,0.01
2021,Optica,Germany,0,0.046,-0.046
2021,Optica,Global,0.001,0.085,-0.084
2021,EDP Sciences,Germany,0.448,0.446,0.002
2021,EDP Sciences,Global,0.333,0.337,-0.005
2021,American Physiological Society,Germany,0,0.105,-0.105
2021,American Physiological Society,Global,0,0.069,-0.069
2021,The Royal Society,Germany,0.024,0.47,-0.446
2021,The Royal Society,Global,0.027,0.396,-0.369
2021,Canadian Science Publishing,Germany,0,0.125,-0.125
2021,Canadian Science Publishing,Global,0,0.123,-0.123
2021,Future Science Group,Germany,0,0.327,-0.327
2021,Future Science Group,Global,0,0.159,-0.159
2021,American Meteorological Society,Germany,0.075,0.224,-0.149
2021,American Meteorological Society,Global,0.03,0.052,-0.022
2021,CSIRO,Germany,0,0.308,-0.308
2021,CSIRO,Global,0,0.18,-0.18
2021,John Benjamins Publishing,Germany,0.058,0.042,0.017
2021,John Benjamins Publishing,Global,0.042,0.035,0.007
2021,Company of Biologists,Germany,0.367,0.378,-0.011
2021,Company of Biologists,Global,0.193,0.238,-0.044
2021,SPIE,Germany,0,0.682,-0.682
2021,SPIE,Global,0.002,0.175,-0.173
2021,Microbiology Society,Germany,0,0,0
2021,Microbiology Society,Global,0.018,0.004,0.014
2021,Hogrefe,Germany,0.427,0.424,0.003
2021,Hogrefe,Global,0.198,0.197,0.001
2021,Akadémiai Kiadó,Germany,0.167,0.167,0
2021,Akadémiai Kiadó,Global,0.503,0.444,0.059
2021,Society for Neuroscience,Germany,0,0.622,-0.622
2021,Society for Neuroscience,Global,0,0.401,-0.401
2021,Portland Press,Germany,0.646,0.646,0
